Project,Event,Year,PCG,Collection,Station_Type,Date,Start_Time_GMT,Samp_Dur,Start_Latitude,Start_Longitude,Start_Depth,LastOfTemp,No Readable Frames,Turbidity,Biotic_Density,Biotic_Type,Biotic_Height,Substrate,Size,Relief,Current_Direction,Current_Magnitude,MeanCount,SumCount,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
T60,2012-1089,2012,T60128077324,128077,Random2013,7/30/2012,17:34,105,34.58026123,-75.82366943,64,25.70940018,17,0,3,Other,High,0,N/A,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2011-24,2011,P05110026324,110026,Random,5/12/2011,14:22,102,33.257267,-77.82289886,32,,18,0,11.5,Other,Low,35,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-35,2013,P05130237324,130237,Random,6/18/2013,20:45,100,32.54988861,-79.36076355,26,21.73270035,18,1,17.5,Algae,High,3.5,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1027,2013,T60133154324,133154,Random,5/25/2013,18:55,85,30.49659157,-80.59278107,35,24.1357,19,0,7.5,Other,High,7.5,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1009,2014,T60143051324,143051,Random,5/2/2014,17:41,81,28.28528214,-80.14403534,40,20.82272857,19,1,11,Other,Low,10,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1021,2014,T60143134324,143134,Random,5/5/2014,19:47,97,29.5537014,-80.38896942,42,19.9806,19,0,15,Other,High,7.5,Coarse,Low,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1150,2014,T60143978324,143978,Random,8/14/2014,19:15,114,29.7353363,-80.45905304,35,22.4222,19,1,37.5,Other,High,22.5,Continuous,Low,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1100,2013,T60133643324,133643,Random2014,7/23/2013,14:36,105,31.51990318,-79.83005524,49,17.91757059,20,1,32.5,Unknown,Low,1.5,Coarse,Low,Sideways,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-61,2013,P05130400324,130400,Random,8/8/2013,10:47,88,34.92676926,-75.51273346,52,23.71389961,20,0,7.5,Other,Low,10,Continuous,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-249,2014,P05140251324,140251,Random,7/10/2014,12:22,89,32.50933075,-79.69499969,17,27.91200066,21,2,12.5,Other,Low,0,N/A,Low,Sideways,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2011-24,2011,P05110027324,110027,Random,5/12/2011,14:27,104,33.25871658,-77.8239975,31,,21,0,27.5,Other,Low,50,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1017,2014,T60143108324,143108,Random,5/4/2014,20:40,94,30.39756966,-80.21608734,56,21.63445,21,0,55,Other,High,65,Continuous,High,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2012-1052,2012,T60123332324,123332,Random,7/10/2012,12:09,98,30.57637024,-80.16065979,50,19.48263359,21,0,47.5,Other,High,15,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1026,2014,T60143167324,143167,Random,5/7/2014,12:11,50,30.03257942,-80.27960205,53,20.42815714,21,0,25,Other,High,45,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-19,2013,P05130130324,130130,Random,5/22/2013,16:57,98,32.7888298,-78.65000153,32,21.50860023,22,0,5,Other,High,2,Coarse,Low,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2012-1127,2012,T60128334324,128334,Random2013,8/20/2012,12:43,104,34.46348953,-75.89642334,81,20.0135994,22,0,15,Other,Low,2,Coarse,Low,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1100,2013,T60133641324,133641,Random2014,7/23/2013,14:28,89,31.52404976,-79.82926941,49,17.91757059,23,1,37.5,Unknown,Low,7.5,Coarse,Low,Sideways,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2011-109,2011,P05110547324,110547,Recon,9/22/2011,11:50,110,32.76520157,-78.6156311,31,27.07320023,23,0,1.5,Other,Low,5,Coarse,Low,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1101,2013,T60133651324,133651,Random2014,7/24/2013,12:51,109,30.98835754,-80.08635712,42,26.73528421,24,0,5,Algae,High,7.5,Coarse,Low,Sideways,Weak,0.25,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
T60,2014-1008,2014,T60143047324,143047,Random,5/2/2014,14:42,95,28.19275093,-80.23126984,27,19.79946667,24,1,10,Other,Low,7.5,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2012-1002,2012,T60123016324,123016,Random2013,4/25/2012,11:49,86,29.17850113,-80.60581207,24,22.52758121,24,0,30,Other,Low,90,Continuous,High,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1019,2014,T60143117324,143117,Random,5/5/2014,14:16,84,29.46613503,-80.43915558,33,20.90173636,25,0,4,Other,Low,1,Coarse,Low,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1099,2013,T60133633324,133633,Random2014,7/22/2013,15:33,84,31.87744331,-80.01300049,36,21.84585,25,1,1,Unknown,Low,1.5,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2012-1088,2012,T60128068324,128068,Random2013,7/30/2012,14:33,79,34.57871628,-75.8248291,61,26.13540077,25,0,15,Other,High,40,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-51,2013,P05130334324,130334,Recon,7/17/2013,21:15,96,33.47365952,-77.08817291,39,25.85770035,27,0,42.5,Algae,High,10,Coarse,Low,Sideways,Weak,0.962962963,N/A,,,,,,,,,,,,,,,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
T60,2014-1005,2014,T60143025324,143025,Random,5/1/2014,16:28,83,27.74386215,-80.12837982,29,21.39605,27,2,12.5,Algae,Low,7.5,Coarse,Low,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-270,2014,P05140396324,140396,Random,8/14/2014,12:04,92,32.95466995,-78.75450134,26,25.40999985,27,1,2.5,Other,Low,0,N/A,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-216,2014,P05140020324,140020,Random,4/29/2014,11:37,89,32.3370018,-79.21399689,43,21.21500015,27,0,7.5,Other,Low,5,Coarse,Low,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2012-1088,2012,T60128069324,128069,Random2013,7/30/2012,14:37,86,34.57648468,-75.82762146,62,26.13540077,28,0,27.5,Other,High,0,N/A,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2012-1127,2012,T60128335324,128335,Random2013,8/20/2012,12:50,111,34.45911407,-75.90376282,81,20.0135994,28,0,5,Unknown,Low,1,Coarse,Low,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-231,2014,P05140127324,140127,Random,5/14/2014,17:41,98,32.34320068,-79.0450592,57,21.94000053,29,1,55,Other,High,62.5,Continuous,High,Sideways,Weak,0.172413793,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,
P05,2011-23,2011,P05110017324,110017,Random,5/12/2011,11:23,97,33.28841782,-77.83976746,28,,29,0,5.5,Other,Low,14,Continuous,Low,Sideways,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2011-23,2011,P05110018324,110018,Random,5/12/2011,11:37,87,33.28951645,-77.83428192,28,,29,0,5,Algae,Low,5,Coarse,Low,Sideways,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1024,2014,T60143151324,143151,Random,5/6/2014,18:42,90,29.77534294,-80.4303894,41,20.26361429,29,0,7.5,Other,Low,1,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-216,2014,P05140019324,140019,Random,4/29/2014,11:29,92,32.34067154,-79.21317291,43,21.21500015,30,0,6,Other,High,8.5,Continuous,Low,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1030,2014,T60143190324,143190,Random,5/28/2014,16:23,101,31.68735886,-80.32400513,29,22.322644,30,0,15,Other,High,5,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-231,2014,P05140129324,140129,Random,5/14/2014,17:50,106,32.33916855,-79.04183197,55,21.94000053,30,1,47.5,Other,High,55,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-68,2013,P05130454324,130454,Random,8/10/2013,12:07,100,34.53339005,-76.21627045,36,23.93280029,30,1,6,Other,Low,2.5,Continuous,Low,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-216,2014,P05140021324,140021,Random,4/29/2014,11:41,90,32.33332825,-79.21366882,42,21.21500015,31,0,17.5,Other,High,17.5,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1039,2013,T60133226324,133226,Random,5/29/2013,15:16,82,29.15341949,-80.82575226,22,23.88045,31,1,30,Other,High,55,Continuous,High,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-62,2013,P05130407324,130407,Random,8/8/2013,13:22,91,34.92216873,-75.50360107,53,24.23880005,31,0,12.5,Other,High,22.5,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-51,2013,P05130331324,130331,Recon,7/17/2013,21:02,93,33.46923828,-77.09139252,41,25.85770035,32,0,17.5,Algae,High,0,N/A,Low,Away,Weak,0.09375,N/A,,,,,,,,,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P05,2013-12,2013,P05130081324,130081,Random,5/20/2013,17:32,97,32.5890007,-79.14417267,34,22.6576004,32,0,30,Other,High,30,Continuous,Moderate,Sideways,Weak,0.34375,N/A,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,,,,,,,,,
T60,2013-1019,2013,T60133104324,133104,Random,5/9/2013,14:49,94,31.23912811,-79.88320923,50,22.15189109,32,0,52.5,Algae,Low,50,Continuous,Moderate,Sideways,Weak,1.59375,N/A,0,0,0,0,0,1,0,1,3,3,2,0,1,0,4,4,5,5,2,1,1,1,1,2,2,3,2,2,2,0,2,1,,,,,,,,,
T60,2012-1120,2012,T60128286324,128286,Random2013,8/16/2012,18:02,102,34.92234802,-75.47113037,63,17.19995022,32,0,10,Algae,High,55,Continuous,High,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2012-1064,2012,T60123417324,123417,Random,7/14/2012,11:45,91,29.15363312,-80.23113251,53,15.99180031,32,0,5,Other,High,50,Continuous,High,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-98,2013,P05130648324,130648,Random,10/2/2013,14:07,96,34.47766113,-75.89891815,75,19.33659935,32,0,10,Unknown,Low,2,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T59,2011-133,2011,T59117035324,117035,Recon,5/18/2011,19:56,96,33.6149826,-76.85803223,85,,32,0,5,Algae,Low,10,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-249,2014,P05140252324,140252,Random,7/10/2014,12:26,90,32.50432968,-79.69532776,16,27.91200066,33,2,7.5,Other,Low,0,N/A,Low,Sideways,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2011-107,2011,P05110528324,110528,Random,9/21/2011,14:34,88,32.79838181,-78.31686401,46,24.55109978,33,0,50,Algae,Low,26.5,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1048,2013,T60133281324,133281,Random2014,6/14/2013,12:19,96,30.48327827,-80.19351196,54,12.36631796,33,1,42.5,Other,High,45,Continuous,High,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-288,2014,P05140526324,140526,Recon,9/15/2014,18:59,70,33.09642029,-77.79833984,77,25.5510006,33,0,2,Algae,Low,0,N/A,Low,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-39,2013,P05130260324,130260,Random,6/25/2013,11:17,92,33.76465988,-76.62033081,110,19.52029991,33,0,20,Other,High,15,Continuous,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1172,2013,T60134360324,134360,Random2014,9/21/2013,13:17,103,31.45722389,-79.80192566,56,21.17974141,34,0,5,Other,High,3,Coarse,Low,Sideways,Weak,0.029411765,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
T60,2014-1054,2014,T60143342324,143342,Random,6/4/2014,16:38,92,30.75320435,-80.21495056,47,25.22375,34,0,20,Other,Low,2,Coarse,Low,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1053,2013,T60133317324,133317,Random2014,6/15/2013,14:46,112,30.45399284,-80.19530487,60,15.20805818,35,1,20,Algae,Low,5,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2012-1118,2012,T60128269324,128269,Random2013,8/16/2012,11:36,89,34.93345261,-75.45685577,62,16.61136691,35,0,32.5,Other,High,12.5,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2011-23,2011,P05110020324,110020,Recon,5/12/2011,11:54,84,33.28643417,-77.82646942,27,,36,0,11.5,Other,Low,27.5,Coarse,Low,Towards,Weak,0.027777778,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
T60,2014-1148,2014,T60143959324,143959,Random,8/14/2014,11:35,78,29.52499962,-80.30211639,51,20.13016923,36,0,5,Other,Low,1.5,Coarse,Low,Sideways,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1098,2013,T60133627324,133627,Random2014,7/22/2013,12:15,96,31.83737755,-80.13741302,34,22.85320692,36,1,15,Other,Low,0,N/A,Low,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1048,2013,T60133282324,133282,Random2014,6/14/2013,12:22,102,30.48070145,-80.19510651,52,12.36631796,36,1,25,Other,High,12.5,Continuous,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2011-1046,2011,T60113303324,113303,Random,7/23/2011,21:14,87,29.66359901,-80.24662018,85,14.79608927,37,0,40,Algae,Low,25,Coarse,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2012-16,2012,P05120104324,120104,Random,6/5/2012,14:01,102,32.73866653,-78.48332977,46,21.74150085,38,0,80,Other,Low,87.5,Continuous,High,Away,Weak,0.026315789,N/A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
T60,2013-1098,2013,T60133626324,133626,Random2014,7/22/2013,12:13,88,31.83454895,-80.13668823,34,22.85320692,38,1,12.5,Other,Low,1,Coarse,Low,Sideways,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1048,2013,T60133280324,133280,Random2014,6/14/2013,12:12,91,30.484375,-80.18835449,61,12.36631796,39,1,25,Other,High,15,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-68,2013,P05130453324,130453,Random,8/10/2013,12:02,98,34.53466034,-76.21099854,36,23.93280029,39,1,30,Other,High,12.5,Continuous,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1053,2013,T60133315324,133315,Random,6/15/2013,14:36,89,30.4453373,-80.20300293,54,15.20805818,39,1,22.5,Algae,High,10,Continuous,Low,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2012-1158,2012,T60123637324,123637,Random,9/20/2012,20:24,87,31.11999321,-79.919487,53,25.90855026,40,0,12.5,Unknown,Low,5,Continuous,Low,Towards,Weak,0.2,N/A,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P05,2014-249,2014,P05140250324,140250,Random,7/10/2014,12:16,90,32.51158142,-79.69795227,17,27.91200066,40,2,7.5,Other,Low,0,N/A,Low,Away,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
